from,to,weight
Marc-André ter Stegen,FC Barcelona,22
Marc-André ter Stegen,Borussia Mönchengladbach,14
Marc-André ter Stegen,U21,6
Marc-André ter Stegen,U19,2
Marc-André ter Stegen,U18,2
Marc-André ter Stegen,U17,2
Marc-André ter Stegen,U16,2
Alexander Nübel,VfB Stuttgart,6
Alexander Nübel,AS Monaco,4
Alexander Nübel,FC Bayern München,2
Alexander Nübel,FC Schalke 04,10
Alexander Nübel,SC Paderborn,8
Alexander Nübel,U21,4
Maximilian Mittelstädt,VfB Stuttgart,4
Maximilian Mittelstädt,Hertha BSC,22
Maximilian Mittelstädt,U21,2
Maximilian Mittelstädt,U20,4
Maximilian Mittelstädt,U19,2
Maximilian Mittelstädt,U18,2
Florian Wirtz,Bayer 04 Leverkusen,11
Florian Wirtz,1. FC Köln,3
Florian Wirtz,U15,1
Florian Wirtz,U16,2
Florian Wirtz,U17,4
Florian Wirtz,U21,2
Robert Andrich,Hertha BSC,11
Robert Andrich,Bayer 04 Leverkusen,8
Robert Andrich,Dynamo Dresden,3
Robert Andrich,SV Wehen Wiesbaden,4
Robert Andrich,1. FC Union Berlin,4
Robert Andrich,1. FC Heidenheim,2
Robert Andrich,U18,2
Robert Andrich,U19,2
Robert Andrich,U20,2
Leroy Sane,FC Schalke 04,10
Leroy Sane,Manchester City,8
Leroy Sane,FC Bayern München,10
Leroy Sane,U19,2
Leroy Sane,U21,2
Emre Can,FC Bayern München,8
Emre Can,Bayer 04 Leverkusen,2
Emre Can,FC Liverpool,8
Emre Can,Juventus Turin,3
Emre Can,Borussia Dortmund,11
Emre Can,U15,1
Emre Can,U16,2
Emre Can,U17,2
Emre Can,U19,2
Emre Can,U21,4
Jonathan Tah,Hamburger SV,6
Jonathan Tah,Fortuna Düsseldorf,2
Jonathan Tah,Bayer 04 Leverkusen,20
Jonathan Tah,U16,2
Jonathan Tah,U17,4
Jonathan Tah,U19,2
Jonathan Tah,U21,2
David Raum,Greuther Fürth,14
David Raum,TSG Hoffenheim,2
David Raum,RB Leipzig,6
David Raum,U19,2
David Raum,U20,6
David Raum,U21,2
Leon Goretzka,VfL Bochum,6
Leon Goretzka,FC Schalke 04,2
Leon Goretzka,FC Bayern München,14
Leon Goretzka,U16,2
Leon Goretzka,U17,2
Leon Goretzka,U19,2
Leon Goretzka,U21,2
Manuel Neuer,FC Schalke 04,8
Manuel Neuer,FC Bayern München,28
Manuel Neuer,U18,1
Manuel Neuer,U19,2
Manuel Neuer,U20,2
Manuel Neuer,U21,6
Malick Thiaw,FC Schalke 04,10
Malick Thiaw,AC Mailand,6
Malick Thiaw,U21,4
Marvin Ducksch,Borussia Dortmund,12
Marvin Ducksch,SC Paderborn,2
Marvin Ducksch,FC St. Pauli,1
Marvin Ducksch,Holstein Kiel,3
Marvin Ducksch,Fortuna Düsseldorf,2
Marvin Ducksch,Hannover 96,4
Marvin Ducksch,SV Werder Bremen,8
Marvin Ducksch,Birmingham City,0
Marvin Ducksch,U15,1
Marvin Ducksch,U16,2
Marvin Ducksch,U17,3
Marvin Ducksch,U18,1
Mats Hummels,FC Bayern München,14
Mats Hummels,Borussia Dortmund,26
Mats Hummels,AS Rom,2
Mats Hummels,U21,6
Maximilian Beier,Energie Cottbus,2
Maximilian Beier,TSG Hoffenheim,10
Maximilian Beier,Hannover 96,2
Maximilian Beier,Borussia Dortmund,2
Maximilian Beier,U17,5
Maximilian Beier,U20,4
Maximilian Beier,U21,2
Nadiem Amiri,SV Waldhof Mannheim,2
Nadiem Amiri,TSG Hoffenheim,14
Nadiem Amiri,Bayer 04 Leverkusen,8
Nadiem Amiri,Genua FC,1
Nadiem Amiri,1. FSV Mainz 05,3
Nadiem Amiri,U18,2
Nadiem Amiri,U19,2
Nadiem Amiri,U20,1
Nadiem Amiri,U21,7
Nico Schlotterbeck,VfR Aalen,2
Nico Schlotterbeck,Karlsruher SC,4
Nico Schlotterbeck,SC Freiburg,8
Nico Schlotterbeck,1. FC Union Berlin,2
Nico Schlotterbeck,Borussia Dortmund,6
Nico Schlotterbeck,U18,1
Nico Schlotterbeck,U19,2
Nico Schlotterbeck,U20,2
Nico Schlotterbeck,U21,5
