id,Geburtsjahr,Position,Type,Nationalität 
Marc-André ter Stegen,1992,TW,1,
Alexander Nübel,1996,TW,1,
Maximilian Mittelstädt,1997,ABW,1,
Florian Wirtz,2003,MF,1,
Robert Andrich,1994,MF,1,
Jonathan Tah,1996,ABW,1,
David Raum,1998,ABW,1,
Leroy Sane,1996,ANG,1,
Emre Can,1994,MF,1,
U15,,,2,
U16,,,2,
U17,,,2,
U18,,,2,
U19,,,2,
U20,,,2,
U21,,,2,
FC Barcelona,,,2,ES
Borussia Mönchengladbach,,,2,DE
VfB Stuttgart,,,2,DE
AS Monaco,,,2,MC
FC Bayern München,,,2,DE
SC Paderborn,,,2,DE
FC Schalke 04,,,2,DE
Hertha BSC,,,2,DE
Bayer 04 Leverkusen,,,2,DE
1. FC Köln,,,2,DE
Hamburger SV,,,2,DE
Fortuna Düsseldorf,,,2,DE
Greuther Fürth,,,2,DE
TSG Hoffenheim,,,2,DE
RB Leipzig,,,2,DE
Manchester City,,,2,GB
Juventus Turin,,,2,IT
Borussia Dortmund,,,2,DE
FC Liverpool,,,2,GB
Dynamo Dresden,,,2,DE
SV Wehen Wiesbaden,,,2,DE
1. FC Union Berlin,,,2,DE
1. FC Heidenheim,,,2,DE
VfL Bochum,,,2,DE
AC Mailand,,,2,IT
FC St. Pauli,,,2,DE
Holstein Kiel,,,2,DE
Hannover 96,,,2,DE
SV Werder Bremen,,,2,DE
Birmingham City,,,2,GB
AS Rom,,,2,IT
Energie Cottbus,,,2,DE
SV Waldhof Mannheim,,,2,DE
1. FSV Mainz 05,,,2,DE
VfR Aalen,,,2,DE
Karlsruher SC,,,2,DE
SC Freiburg,,,2,DE
SV Elversberg,,,2,DE
VfL Neckarau,,,2,DE
FC Ingolstadt,,,2,DE
Brighton & Hove Albion,,,2,GB
Leon Goretzka,1995,MF,1,
Manuel Neuer,1986,TW,1,
Malick Thiaw,2001,ABW,1,
Marvin Ducksch,1994,ANG,1,
Mats Hummels,1988,ABW,1,
Maximilian Beier,2002,ANG,1,
Nadiem Amiri,1996,MF,1,
Nico Schlotterbeck,1999,ABW,1,
Nick Woltemade,2002,ANG,1,
Niklas Süle,1995,ABW,1,
Oliver Baumann,1990,TW,1,
Pascal Groß,1991,MF,1,
1.FC Schnaittach,,,2,DE
1.SC Feucht,,,2,DE
TSV Lehnerz,,,2,DE
1. FC Nürnberg,,,2,DE
FC Southampton,,,2,GB
FC Chelsea,,,2,GB
FC Rot,,,2,DE
SV Darmstadt 98,,,2,DE
SC Borgfeld,,,2,DE
FC Oberneuland,,,2,DE
VfL Wolfsburg,,,2,DE
FC Arsenal,,,2,GB
TSV Forstenried,,,2,DE
SpVgg Unterhaching,,,2,DE
RB Salzburg,,,2,AT
FC Liefering,,,2,AT
SC Weyhe,,,2,DE
SV Wilhelmshaven,,,2,DE
Alemannia Mariadorf,,,2,DE
Alemannia Aachen,,,2,DE
RW Essen,,,2,DE
1. FC Saarbrücken,,,2,DE
SV Sandhausen,,,2,DE
FC Lugano,,,2,CH
SV Babelsberg 03,,,2,DE
FC Brentford,,,2,GB
FC Brotdorf,,,2,DE
SSV Bachem,,,2,DE
SV Mettlach,,,2,DE
1. FC Kaiserslautern,,,2,DE
Eintracht Frankfurt,,,2,DE
Paris SG,,,2,FR
Paris FC,,,2,FR
Jamie Leweling,2001,ANG,1,
Jamal Musiala,2003,MF,1,
Jonas Hofmann,1992,MF,1,
Jonathan Burkardt,2000,ANG,1,
Joshua Kimmich,1995,MF,1,
Julian Brandt,1996,MF,1,
Kai Havertz,1999,ANG,1,
Karim Adeyemi,2002,ANG,1,
Kevin Behrens,1991,ANG,1,
Kevin Schade,2001,ANG,1,
Kevin Trapp,1990,TW,1,
Real Madrid,,,2,ES
FC Fulham,,,2,GB
SC Rot-Weiß Oberhausen,,,2,DE
TSV Achim,,,2,DE
TSV Havelse,,,2,DE
BTSV Eintracht Braunschweig,,,2,DE
SV Meppen,,,2,DE
Union SG,,,2,BE
Stuttgarter Kickers,,,2,DE
Galatasaray Istanbul,,,2,TR
Hansa Rostock,,,2,DE
Heracles Almelo,,,2,NL
Aleksandar Pavlovic,2004,MF,1,
Angelo Stiller,2001,MF,1,
Antonio Rüdiger,1993,ABW,1,
Benjamin Henrichs,1997,ABW,1,
Bernd Leno,1992,TW,1,
Brajan Gruda,2004,ANG,1,
Chris Führich,1998,ANG,1,
Deniz Undav,1996,ANG,1,
Felix Nmecha,2000,MF,1,
Grischa Prömel,1995,MF,1,
Ilkay Gündoğan,1990,MF,1,
Janis Blaswich,1991,TW,1,
AC Florenz,,,2,IT
Inter Mailand,,,2,IT
Atalanta Bergamo,,,2,IT
FC Dordrecht,,,2,NL
Vitesse Arnheim,,,2,NL
VfL Rhede,,,2,DE
Leeds United,,,2,GB
VV St. Truiden,,,2,BE
West Bromwich Albion,,,2,GB
West Ham United,,,2,GB
KAA Gent,,,2,BE
Roda JC Kerkrade,,,2,NL
Vitória Guimarães SC,,,2,PT
Aarhus GF,,,2,DK
1860 München,,,2,DE
Arminia Bielefeld,,,2,DE
Yann Bisseck,2000,ABW,1,
Waldemar Anton,1996,ABW,1,
Robin Gosens,1994,ABW,1,
Robin Koch,1996,ABW,1,
Rocco Reitz,2002,MF,1,
Serge Gnabry,1995,ANG,1,
Stefan Ortega,1992,TW,1,
Thilo Kehrer,1996,ABW,1,
Thomas Müller,1989,MF,1,
Tim Kleindienst,1995,ANG,1,
Toni Kroos,1990,MF,1,
Eintracht Trier,,,2,DE
Genua FC,,,2,IT
